id;train_loss;train_acc;val_acc
0;1.632209;0.474369;0.511364
1;1.483266;0.480879;0.511364
2;1.413276;0.494711;0.556818
3;1.334601;0.542718;0.575758
4;1.270226;0.563873;0.583333
5;1.239499;0.576078;0.602273
6;1.210075;0.587469;0.606061
7;1.189243;0.590724;0.625000
8;1.167230;0.600488;0.632576
9;1.142363;0.608625;0.640152
10;1.130762;0.620016;0.670455
11;1.112533;0.630594;0.647727
12;1.094163;0.636290;0.670455
13;1.082441;0.637917;0.681818
14;1.065051;0.656631;0.666667
15;1.040793;0.658259;0.662879
16;1.039988;0.650936;0.685606
17;1.026090;0.663141;0.693182
18;1.014489;0.672091;0.689394
19;1.002862;0.673718;0.666667
20;0.996847;0.677787;0.678030
21;1.006979;0.668023;0.678030
22;0.981041;0.681855;0.625000
23;0.976456;0.675346;0.700758
24;0.958677;0.691619;0.708333
25;0.950625;0.692433;0.708333
26;0.942752;0.691619;0.700758
27;0.909850;0.708706;0.715909
28;0.911999;0.700570;0.647727
29;0.915199;0.702197;0.715909
30;0.884276;0.713588;0.719697
31;0.899978;0.706265;0.719697
32;0.883600;0.711961;0.647727
33;0.858904;0.724166;0.715909
34;0.873886;0.712775;0.734848
35;0.854045;0.717657;0.731061
36;0.856240;0.724980;0.734848
37;0.840550;0.732303;0.734848
38;0.831612;0.727421;0.734848
39;0.821404;0.730675;0.727273
40;0.811510;0.741253;0.746212
41;0.813343;0.735557;0.659091
42;0.786014;0.739626;0.746212
43;0.782070;0.743694;0.757576
44;0.799240;0.735557;0.750000
45;0.786124;0.739626;0.753788
46;0.772444;0.747762;0.746212
47;0.766916;0.747762;0.742424
48;0.767049;0.735557;0.742424
49;0.737504;0.763222;0.746212
50;0.745401;0.750203;0.738636
51;0.734157;0.754272;0.746212
52;0.716829;0.759154;0.757576
53;0.750521;0.743694;0.753788
54;0.718498;0.756713;0.753788
55;0.717884;0.753458;0.746212
56;0.696996;0.759967;0.746212
57;0.682578;0.762408;0.750000
58;0.703435;0.759154;0.750000
59;0.691792;0.762408;0.750000
60;0.690617;0.760781;0.750000
61;0.664219;0.772986;0.742424
62;0.660992;0.776241;0.757576
63;0.656729;0.777055;0.753788
64;0.675632;0.758340;0.750000
65;0.665668;0.775427;0.757576
66;0.641758;0.780309;0.753788
67;0.625134;0.778682;0.757576
68;0.622338;0.784378;0.765152
69;0.626554;0.789260;0.776515
70;0.610440;0.783564;0.772727
71;0.611145;0.790073;0.753788
72;0.613376;0.792514;0.761364
73;0.582171;0.799024;0.753788
74;0.597533;0.786819;0.765152
75;0.594234;0.785191;0.753788
76;0.569960;0.794955;0.761364
77;0.582829;0.786819;0.776515
78;0.549043;0.797396;0.772727
79;0.541911;0.806347;0.772727
80;0.562623;0.805533;0.757576
81;0.523100;0.817738;0.768939
82;0.536157;0.825061;0.776515
83;0.495409;0.825061;0.818182
84;0.538465;0.815297;0.795455
85;0.497303;0.827502;0.795455
86;0.499436;0.808788;0.795455
87;0.485875;0.813670;0.795455
88;0.478711;0.836452;0.814394
89;0.474117;0.830757;0.799242
90;0.476142;0.829943;0.814394
91;0.453668;0.843775;0.833333
92;0.476306;0.836452;0.825758
93;0.480157;0.834825;0.818182
94;0.444560;0.837266;0.803030
95;0.421859;0.857608;0.840909
96;0.456755;0.836452;0.776515
97;0.415016;0.847030;0.840909
98;0.455849;0.837266;0.814394
99;0.422161;0.855980;0.814394
100;0.428879;0.851098;0.799242
101;0.433476;0.844589;0.803030
102;0.387703;0.869813;0.818182
103;0.382888;0.864117;0.784091
104;0.407735;0.855167;0.825758
105;0.374065;0.865745;0.810606
106;0.386890;0.861676;0.825758
107;0.402006;0.868186;0.852273
108;0.415907;0.861676;0.840909
109;0.364409;0.873068;0.825758
110;0.393617;0.866558;0.818182
111;0.382813;0.876322;0.825758
112;0.362374;0.876322;0.837121
113;0.366988;0.866558;0.761364
114;0.333966;0.879577;0.825758
115;0.343339;0.880391;0.852273
116;0.347174;0.884459;0.734848
117;0.365366;0.874695;0.829545
118;0.348518;0.886900;0.863636
119;0.321253;0.896664;0.791667
120;0.347761;0.874695;0.852273
121;0.329155;0.887714;0.844697
122;0.298334;0.902360;0.750000
123;0.321136;0.897478;0.799242
124;0.308041;0.907242;0.825758
125;0.327264;0.883645;0.863636
126;0.310505;0.896664;0.837121
127;0.320479;0.888527;0.878788
128;0.313216;0.893409;0.875000
129;0.283729;0.903987;0.875000
130;0.294733;0.898291;0.871212
131;0.262340;0.911310;0.890152
132;0.281271;0.904801;0.863636
133;0.279490;0.904801;0.833333
134;0.327554;0.884459;0.871212
135;0.242647;0.916192;0.852273
136;0.272555;0.912937;0.878788
137;0.291987;0.904801;0.875000
138;0.262134;0.906428;0.875000
139;0.265052;0.912124;0.844697
140;0.263206;0.906428;0.848485
141;0.273764;0.912124;0.848485
142;0.286588;0.905614;0.852273
143;0.271324;0.898291;0.882576
144;0.247437;0.917819;0.840909
145;0.228405;0.919447;0.848485
146;0.248039;0.914565;0.878788
147;0.262178;0.917819;0.871212
148;0.244341;0.919447;0.871212
149;0.252173;0.911310;0.852273
150;0.263743;0.916192;0.871212
151;0.247671;0.918633;0.893939
152;0.227080;0.920260;0.871212
153;0.228574;0.922701;0.859848
154;0.230465;0.921888;0.890152
155;0.234096;0.927583;0.871212
156;0.229377;0.925956;0.886364
157;0.239882;0.920260;0.859848
158;0.218551;0.922701;0.863636
159;0.255665;0.924329;0.897727
160;0.205014;0.930024;0.882576
161;0.217738;0.928397;0.852273
162;0.212703;0.929211;0.852273
163;0.227280;0.925956;0.878788
164;0.229397;0.925956;0.882576
165;0.236767;0.928397;0.893939
166;0.206838;0.926770;0.882576
167;0.212439;0.930024;0.871212
168;0.212908;0.921074;0.878788
169;0.198499;0.937347;0.844697
170;0.237890;0.922701;0.886364
171;0.186314;0.943043;0.886364
172;0.177526;0.937347;0.882576
173;0.209089;0.934093;0.886364
174;0.198080;0.925142;0.871212
175;0.206317;0.934093;0.875000
176;0.205729;0.927583;0.897727
