id;train_loss;train_acc;val_acc
0;1.820476;0.464605;0.511364
1;1.610393;0.480879;0.511364
2;1.528951;0.480879;0.511364
3;1.509578;0.480879;0.511364
4;1.500469;0.480879;0.511364
5;1.495310;0.480879;0.511364
6;1.491501;0.480879;0.511364
7;1.486819;0.480879;0.511364
8;1.485619;0.480879;0.511364
9;1.482107;0.480879;0.511364
10;1.481477;0.480879;0.511364
11;1.477724;0.480879;0.511364
12;1.475790;0.480879;0.511364
13;1.473306;0.480879;0.511364
14;1.469618;0.480879;0.511364
15;1.467780;0.480879;0.511364
16;1.463035;0.480879;0.511364
17;1.456938;0.480879;0.511364
18;1.454016;0.480879;0.511364
19;1.448509;0.480879;0.511364
20;1.442894;0.480879;0.511364
21;1.438371;0.480879;0.511364
22;1.430481;0.480879;0.511364
23;1.422480;0.480879;0.511364
24;1.416973;0.481692;0.511364
25;1.407377;0.482506;0.518939
26;1.399999;0.488202;0.522727
27;1.391672;0.500407;0.526515
28;1.382946;0.510985;0.541667
29;1.374499;0.516680;0.545455
30;1.364651;0.527258;0.549242
31;1.355419;0.529699;0.556818
32;1.345747;0.538649;0.560606
33;1.337849;0.541090;0.556818
34;1.326722;0.542718;0.564394
35;1.320176;0.545159;0.564394
36;1.315362;0.544345;0.564394
37;1.308140;0.547600;0.568182
38;1.301389;0.545972;0.568182
39;1.294425;0.549227;0.568182
40;1.289844;0.550854;0.568182
41;1.283423;0.554109;0.571970
42;1.278159;0.552482;0.571970
43;1.273765;0.552482;0.571970
44;1.270320;0.552482;0.575758
45;1.265174;0.554109;0.575758
46;1.257852;0.554923;0.575758
47;1.256789;0.552482;0.575758
48;1.254733;0.554109;0.575758
49;1.249949;0.555736;0.575758
50;1.246379;0.553295;0.575758
51;1.240584;0.553295;0.575758
52;1.237638;0.555736;0.575758
53;1.233262;0.554923;0.575758
54;1.231969;0.554923;0.575758
55;1.230076;0.553295;0.571970
56;1.225831;0.558177;0.571970
57;1.223622;0.556550;0.575758
58;1.218101;0.556550;0.571970
59;1.217248;0.553295;0.571970
60;1.215450;0.559805;0.571970
61;1.210077;0.556550;0.571970
62;1.210098;0.558177;0.571970
63;1.205703;0.557364;0.571970
64;1.204428;0.557364;0.571970
65;1.202016;0.558991;0.568182
66;1.197235;0.558177;0.568182
67;1.199061;0.558991;0.568182
68;1.192608;0.563059;0.568182
69;1.187798;0.564687;0.568182
70;1.187793;0.565500;0.568182
71;1.185408;0.564687;0.568182
72;1.178728;0.567128;0.568182
73;1.176982;0.570382;0.568182
74;1.177973;0.571196;0.568182
75;1.176124;0.568755;0.568182
76;1.168766;0.572823;0.568182
77;1.169707;0.572010;0.571970
78;1.161445;0.570382;0.571970
79;1.162571;0.569569;0.571970
80;1.156072;0.575264;0.571970
81;1.156922;0.574451;0.571970
82;1.152871;0.574451;0.571970
83;1.145169;0.574451;0.571970
84;1.150107;0.578519;0.571970
85;1.144103;0.576892;0.571970
86;1.139449;0.576892;0.571970
87;1.133965;0.578519;0.571970
88;1.139131;0.572010;0.571970
89;1.130495;0.585028;0.571970
90;1.133509;0.580960;0.571970
91;1.133224;0.579333;0.571970
92;1.125079;0.585028;0.571970
93;1.117775;0.580146;0.571970
94;1.120061;0.585842;0.571970
95;1.113901;0.585842;0.575758
96;1.119173;0.589097;0.575758
97;1.113108;0.590724;0.575758
98;1.113622;0.589097;0.575758
99;1.109066;0.587469;0.575758
100;1.104108;0.596420;0.575758
101;1.109924;0.593165;0.571970
102;1.098555;0.603743;0.571970
103;1.097460;0.599675;0.571970
104;1.091522;0.602929;0.571970
105;1.089983;0.599675;0.571970
106;1.090635;0.597234;0.571970
107;1.087545;0.603743;0.571970
108;1.081723;0.610252;0.571970
109;1.076375;0.605370;0.571970
110;1.082555;0.609439;0.571970
111;1.078062;0.606184;0.568182
112;1.071682;0.609439;0.571970
113;1.074561;0.616762;0.575758
114;1.067145;0.621644;0.571970
115;1.062269;0.613507;0.571970
116;1.060912;0.609439;0.571970
117;1.058549;0.610252;0.571970
118;1.056789;0.611880;0.579545
119;1.047682;0.620830;0.571970
120;1.050030;0.619203;0.575758
121;1.047447;0.616762;0.587121
122;1.047603;0.619203;0.579545
123;1.043392;0.621644;0.587121
124;1.034137;0.624898;0.583333
125;1.039468;0.626526;0.587121
126;1.036603;0.625712;0.587121
127;1.035009;0.628153;0.579545
128;1.030620;0.633035;0.571970
129;1.032161;0.631408;0.583333
130;1.023530;0.626526;0.583333
131;1.021903;0.634662;0.583333
132;1.018855;0.637103;0.587121
133;1.022305;0.626526;0.583333
134;1.014826;0.629780;0.583333
135;1.011936;0.635476;0.579545
136;1.012468;0.637917;0.583333
137;1.004992;0.638731;0.583333
138;1.005495;0.640358;0.587121
139;1.004837;0.637917;0.583333
140;0.997068;0.642799;0.587121
141;0.994319;0.645240;0.587121
142;0.993612;0.632221;0.587121
143;0.993461;0.641172;0.587121
144;0.984860;0.647681;0.587121
145;0.982642;0.637917;0.587121
146;0.980342;0.647681;0.583333
147;0.980859;0.647681;0.587121
148;0.977741;0.645240;0.583333
149;0.981778;0.651749;0.587121
150;0.978031;0.644426;0.583333
151;0.965388;0.654190;0.583333
152;0.966805;0.650936;0.587121
153;0.966387;0.651749;0.594697
154;0.954955;0.652563;0.583333
155;0.959778;0.655818;0.587121
156;0.952239;0.659886;0.587121
157;0.956059;0.652563;0.598485
158;0.952060;0.661513;0.598485
159;0.946522;0.663141;0.602273
160;0.947908;0.659886;0.598485
161;0.948913;0.655004;0.590909
162;0.945386;0.670464;0.583333
163;0.941402;0.667209;0.583333
164;0.937410;0.660700;0.602273
165;0.931015;0.660700;0.594697
166;0.929986;0.665582;0.583333
167;0.936008;0.668023;0.602273
168;0.929213;0.667209;0.606061
169;0.934078;0.667209;0.609848
170;0.915393;0.672091;0.587121
171;0.910548;0.672091;0.609848
172;0.919904;0.669650;0.609848
173;0.905702;0.681041;0.587121
174;0.918633;0.663141;0.583333
175;0.906651;0.672091;0.613636
176;0.902575;0.681041;0.613636
177;0.903198;0.675346;0.598485
178;0.906413;0.668836;0.594697
179;0.892015;0.686737;0.609848
180;0.895518;0.681041;0.606061
181;0.893391;0.679414;0.609848
182;0.895448;0.682669;0.602273
183;0.888742;0.690806;0.609848
184;0.888244;0.680228;0.613636
185;0.879172;0.696501;0.606061
186;0.876622;0.683483;0.617424
187;0.876908;0.682669;0.621212
188;0.869851;0.685110;0.602273
189;0.868446;0.691619;0.617424
190;0.863322;0.696501;0.609848
191;0.868070;0.685924;0.617424
192;0.862682;0.689178;0.621212
193;0.866439;0.685110;0.625000
194;0.860386;0.685110;0.617424
195;0.858882;0.687551;0.613636
196;0.854819;0.688365;0.621212
197;0.854762;0.689992;0.621212
198;0.848251;0.691619;0.617424
199;0.843170;0.697315;0.617424
200;0.847305;0.695688;0.625000
201;0.843925;0.691619;0.636364
202;0.839320;0.698129;0.613636
203;0.848876;0.685110;0.625000
204;0.839782;0.700570;0.625000
205;0.828820;0.700570;0.625000
206;0.833643;0.692433;0.617424
207;0.832320;0.703011;0.625000
208;0.822390;0.707893;0.632576
209;0.834467;0.695688;0.621212
210;0.820311;0.711961;0.625000
211;0.822094;0.710334;0.628788
212;0.810956;0.712775;0.625000
213;0.815074;0.708706;0.625000
214;0.805799;0.705452;0.632576
215;0.813201;0.697315;0.625000
216;0.806334;0.720098;0.628788
217;0.807934;0.718470;0.625000
218;0.797697;0.720911;0.628788
219;0.802087;0.718470;0.625000
220;0.802177;0.709520;0.617424
221;0.792683;0.707079;0.625000
222;0.787519;0.713588;0.621212
223;0.786634;0.716843;0.625000
224;0.779454;0.727421;0.628788
225;0.775874;0.721725;0.628788
226;0.777680;0.726607;0.628788
227;0.770538;0.722539;0.625000
228;0.770714;0.717657;0.628788
229;0.772840;0.722539;0.625000
230;0.775219;0.717657;0.621212
231;0.769825;0.722539;0.625000
232;0.766578;0.724166;0.632576
233;0.770101;0.729048;0.632576
234;0.754456;0.730675;0.621212
235;0.741651;0.731489;0.640152
236;0.758233;0.725793;0.632576
237;0.755737;0.719284;0.632576
238;0.746595;0.724166;0.636364
239;0.745310;0.725793;0.643939
240;0.748776;0.733116;0.628788
241;0.742139;0.729048;0.621212
242;0.736820;0.736371;0.621212
243;0.755418;0.726607;0.636364
244;0.735069;0.731489;0.625000
245;0.735632;0.725793;0.628788
246;0.731443;0.732303;0.636364
247;0.732050;0.737185;0.628788
248;0.728052;0.732303;0.643939
249;0.720599;0.736371;0.632576
